Unique ID,Post,Labels Set
1408,"After a cricket match in Srinagar, the Jammu and Kashmir Police has arrested 10 people. The match was held in Srinagar on September 3. It was organized by some people in memory of a slain terrorist.

https://t.co/arFEhSDSC6",non-hostile
1409,"If living was an art, Modi ji heads by the Vinci",fake
1410,"In respect of Kovid-19, 1,19,604 calls have been disposed out of 1,20,022 calls received on the toll free helpline number 1070 of the Integrated Disaster Control Center established at the state level in the Relief Commissioner Office: ACS, Home and Information, Sh. @AwasthiAwanishK ji

@ShishirGoUP",non-hostile
1411,"Happy news for those who drink plenty of tea and drink tea
🅿️➕
* According to the famous American CNN NEWS CHANNEL, China's famous Corona virus expert Dr. Li Wenliang stated before his death that, 3 chemical Methylxanthine, Theobromine and Theophylline can kill corona viruses. And all these three chemicals are found in tea. So if someone drinks three cups of tea in a day, they will not get infected with corona virus or if any infected person drinks tea, they will be infection free in a few days. To make this truth Dr. Li Wenliang invented the Corona patients by studying the Case History Study. *
* He was also sentenced by the Chinese government to reveal this truth. The subject of grief is that, Dr. Li Wenliang died after being cornered by Corona. The Caffine that is contained within tea is the same Methylxanthine and two other chemicals are also found in tea. Corona patients were given tea three times in Huwan province of China. That's why today Huwan Corona is free. * 🙏
please drink 3 times TEA and save LIFE",fake
1412,The National Aeronautics and Space Administration (NASA) has recorded 'Om' as a sound emanating from the sun.,fake
1413,"Shri Ram Mandir Ayodhya: Way clear for temple land worship, High Court dismisses PIL
#RamMandir #AyodhyaRamMandir #BhumiPujan
https://t.co/riIwO9UC3h",non-hostile
1414,"Prayagraj: Case diary of 113 cases filed against Atik missing from the police station, created a stir

#AtiqAhmad #PoliceStation #Prayagraj

https://t.co/LsF8wqPz98",non-hostile
1415,"International flight from Kushinagar in two months: Chief Minister Shri @myogiadityanath ji.

The Chief Minister said that encephalitis was brought under control by the cleanliness drive. https://t.co/RszRfoKFXG",non-hostile
1416,"Perfect body made me a favorite of people, but also stressed 'https://t.co/yp50TJLFXt",non-hostile
1417,"RT @Nattashasharrma: Do you still

believe the talk of the Prime Minister of this country ?",hate
1418,"@yadavtejashwi Just as much as you watch videos of this type, the same number of people are actually dying from Corona, whose body is showing the readiness of the hospital to lift the body, the normal death of the organ trafficking is not the only thing so that people Demonstrates readiness to lift and burn las https://t.co/vXu8WkD5BU",non-hostile
1419,"When in @IPL, against which team will clash #MumbaiIndians, know @mipaltan's full schedule # ipl2020schedule #IPLSchedule
https://t.co/Ua5LMCPQjV",non-hostile
1420,The same deception happened to the country.,hate
1421,"#IndiaChinaTension: Talks will reduce tension, India-China brigade commander level talks continue
#Chinaindia
https://t.co/72i89MgZFq",non-hostile
1422,"# IPL2020: All 13 members of Chennai Super Kings were found negative in the Corona Test. #ChennaiSuperKings
https://t.co/CWZIha2Doc",non-hostile
1423,"Did Sambit Patra, the national spokesperson of the Bharatiya Janata Party, call the farmers traitors?
What is this @sambitswaraj ji! Leave some shame. #KisanKrantiYatra",fake
1424,"The symbol of the Supreme Court changed ..

क्या What does it mean ..
Yato Dharmastato Jai:",fake
1425,"Apart from nikah, is there any other festival of brotherhood in Islam?

Just asking like this?",offensive
1426,"A guide line has come from Delhi Police. We feel that wherever we get good information in present times, we should read it.

Facemask information.

Masks should be used for a limited time. If you wear it for a long time:

1. Oxygen in the blood decreases.

2. The brain gets less oxygen.

3. You start feeling weak.

4. May lead to death.

Advice

a- Remove it when you are alone. I see many people in the car with AC still wearing face MASK. Ignorance or illiteracy?

B - Do not use it at home.

C - Use it only in crowded place and when in close contact with one or more persons.

D - Reduce your use by isolating yourself most often.

Use E-AC sparingly.

Be safe !!!

Medications that are taken in isolation hospitals

1. Vitamin C-1000

2. Vitamin E (E)

3. (10 to 11) hours, sitting in the sun for 15-20 minutes.

4. We rest / sleep at least 7-8 hours

5. We drink 2.5 liters of water daily

6. All food should be hot (not cold).

And all of this we do to strengthen the immune system in the hospital.

Note that the pH of coronavirus varies from 5.5 to 8.5.

Therefore, all we need to do to eliminate the virus is to increase the level of the acidity of the virus to more alkaline. Eat foods.

Such as:

Green Lemon - 9.9 pH

Yellow Lemon - 8.2 pH

Avocado - 15.6 pH

* Garlic - 13.2 pH

* Mango - 8.7 pH

* Tangerine - 8.5 pH

* Pineapple - 12.7 pH

* Watercress - 22.7 pH

* Orange - 9.2 pH

How to know That you are infected with the corona virus?

1. Throat

2. Dry throat

3. Dry cough

4. High temperature

5. Shortness of breath

6. Lack of smell….

Lemon with hot water eradicates the virus before reaching the lungs…

Do not keep this information to yourself. Provide it to all your family and friends.

We wish you good health and long life!

Information in public interest

delhi police",fake
1427,@KanganaTeam @narendramodi @AmitShah @nstomar @ 1mayankmadhur2 Kami Babur Sena,offensive
1428,"Bhagyashree said - When my son was born, Yash Chopra told me that you say yes, I start the film. I did not understand once upon hearing this. Because I had heard that the film world does not accept the actress after marriage.

https://t.co/7kxLhV6zVl",non-hostile
1429,"Before coming to BSP, how many people knew Phule, Shahu, Gadge, Periyar, how many district towns, villages, schools, colleges, hospitals, parks, community centers and how many government schemes were running in their name.",hate
1430,"Surat: Police arrested the accused who escaped from the company with 49 lakh rupees, know what was the whole case
@NeerajGaur_
https://t.co/d0SVIddtEo",non-hostile
1431,"They will insult Sanatan,
they will hide the misdeeds of the peace-loving
Congress, the secular game of the Left has put the Hindus who have been dusting in the eyes of the

Hindus, to find the history of their caste, erase the Sanatani history and make the jihadis the goal of Gajwa-e-Hind put in practice
# Hirkhan_pe_ out NSA_","hate, offensive"
1432,"#JustIn: Summoned to son of Bengaluru councilor in drugs case, NCB summons Mumbai for questioning
#RheaDrugsCase https://t.co/4cGVGYZrcx",non-hostile
1433,"Understand the screw inside, if Prashant Bhushan pays this one rupee, he himself will be held guilty of contempt, who will not do or will not go to jail.
That means well on one side and ate on the other side.",hate
1434,"It happened 06 years ago, which has not been done in 70 years. Making a wonderful use of financial inclusion, Respected PM Shri @narendramodi ji launched the Pradhan Mantri Jan Dhan Yojana.

This scheme is a boon to improve the standard of living of the poor.

# 6YearsOfJanDhanYojana greetings to Prime Minister.",non-hostile
1435,@KanganaTeam The only way to end the mafia. Shift the Bollywood film industry to Noida.,defamation
1436,"Go ahead looking forward.

14 illegal constructions in Kangna's office, BMC pasted notice to stop work
https://t.co/od7aiZ1xaB",offensive
1437,"Shut up liar
5 lakh Muslims are in detention centers in Assam, their citizenship has been taken away.
13 lakh Hindus who have not proved the same citizenship are coming out through CAA.
Now this plan is to implement the fascist government all over India.
How do you lie so shamelessly?","defamation, hate, offensive"
1438,"The cross hangs in place of Mangalsutra in the neck of the Janeudhari sister of Janaudhari Dattatreya Brahmin, and says that I am the daughter of Ganga, a family living on Bell by stealing a fake number.",fake
1439,"The Indian Army undertook a chemical attack - no protective equipment, no refinement measures, inhumane! Are these soldiers members of lower caste in India?",fake
1440,@ Ankit96964403 @AcharyaPramodk what should Alauddin Khilji do with Padmavati,offensive
1441,"Today, oxygen screening campaign was conducted in Morena district in which the people were checked by the activists and also influenced by the Aam Aadmi Party and took membership in the hands of District President @ VijayRajeSingh2, @PankajSinghAAP @ManeekshaSingh @UmeshCol @ SumitCh64 @ Jitendr4152 https: / /t.co/cPNnxFIDKp",non-hostile
1442,"China seems to have

gotten used to being beaten by Hindustan again and again #China #IndianArmy @DefenceMinIndia

https://t.co/7VdGiDTUrS",non-hostile
1443,Kamini Teri Okat is only Rs.500. https://t.co/3t19EW7fkL,"defamation, offensive"
1444,"India's GDP slumped 23.9% in April-June quarter

Full news: - https://t.co/I2LrANTQLW

#gdp #india #economy https://t.co/OnQRFZkXyK",non-hostile
1445,"See how the group of polar Muslims is lynching this old man. It is happening in Jafrabad, Delhi after Bharat Mata Ki Jai. Why is it not being shown in the media? Why is it not being made viral by true Indians. Please wake up, Jai Hind",fake
1446,Vice President Naidu suggested to milk them for breakfast or lunch to increase the level of nutrition in children https://t.co/PpqVSjIsRw,non-hostile
1447,"Paytm's earnings grew to Rs 3,629 crore, a 40 per cent decrease in losses
https://t.co/LQmVCtIoHd via @NavbharatTimes
#Paytm #PaytmRevenue #PaytmProfit #PaytmResult https://t.co/2ju3zekb0r",non-hostile
1448,Breaking News: Google Maps Removes LoC… It's Only a Time and PoK Will Be Ours. Not only LOC but also removed LAC (Line of Actual Control) with China. The US is probably cooking some khichdi with China. Forgot this opinion that today higher officials of US met our NSA for anti-terrorism action against Pakistan and now it happened. Now connect the points.,fake
1449,"Remember the dog died in 1967, you people",offensive
1450,"Three CBI officials associated with the case told the 'India Today' group that so far no evidence of murder has been found in the Sushant case. CBI officials said that investigation of the case is still going on
https://t.co/YbyItOn2rr",non-hostile
1451,"Ten weeks, ten o'clock, ten minutes every Sunday Dengue attacks. https://t.co/Q87Iwrerlw",non-hostile
1452,"I want to assure everyone that there is no dearth of beds inside Delhi.

At present there are 14 thousand beds in Delhi, out of which only 5 thousand beds are filled, and it is a pleasure to know that we are able to provide treatment to the people of Delhi as well as our siblings from other states. https://t.co/SKbjYjI5Fj",non-hostile
1453,"@ arnabofficial_7 Thali clapping like blind devotees, Amitabh Bachchan played a relative, as soon as the truth was spoken, the enemy became 135 crore in the country.",offensive
1454,"Those soldiers of the Development Regiment Battalion, due to which the plan of China was flopped. Watch @manjeetnegilive report #RE https://t.co/VNdGQtJoOs",non-hostile
1455,"After three, three, nine…? बच्चों The children insisted on listening to a multiplication of three, spread Modi!",defamation
1456,"Do you know who made 'Duck' record in IPL?
# IPL2020
https://t.co/I25bSbTvXp",non-hostile
1457,"In order to take Amrish Poorbadala in the hero film, Anil Kapoor's house gets demolished,

and later Anil Kapoor becomes the CM of Maharashtra ...",defamation
1458,"Will everyone's electricity bill be forgiven from September 1 across the country? https://t.co/OwNCVMb89P via @NavbharatTimes
#electricitybill #ElectricVehicles https://t.co/dIK4mxYhQi",non-hostile
1459,"With the arrival of optical fiber cable by sea and the launch of Airtel Ultra Fast 4G, people in the Andaman and Nicobar Islands will get high speed internet facilities and benefit in employment.

https://t.co/wosIeeNKG6",non-hostile
1460,"Pakistan beat England by five runs, a three-match series equal to one 

#PAKvENG #ENGvPAK #Pakistan #England

https://t.co/abgtKtBnCf https://t.co/ShF3zMLPmI",non-hostile
1461,"Children's literature, composed in Hindi, has been a source of entertainment and enlightenment for children and adolescents for generations. This literature, created in the form of children's stories, poems and essays, is the world's window for the child world.

Click on https://t.co/njnH3OsGng in # Hindi_Mah and see the sky of Hindi children's literature. https://t.co/uMfrXnVsH4",non-hostile
1462,"""One Gandhi died, thousands of Hindus killed"" ""Second Gandhi died, thousands of Sikhs burnt"" ""Third Gandhi died, thousands of Tamils ​​killed"" ""This is the sacrifice of Gandhi family""",fake
1463,"It

is necessary to wear a home-made reusable face-cover / mask to be safe from infection with #IndiaFightsCorona # COVID19. Change your behavior, attack Corona.

# TogetherAgainstCovid19 https://t.co/FIISd9b2vG",non-hostile
1464,"Believe it, if you buy such an electric car, even a few lakh rupees can be cheaper than a petrol car!
https://t.co/6QqF59txe4 via @NavbharatTimes
#ElectricCar #ElectricVehicle https://t.co/jSVDdq1ffC",non-hostile
1465,@ AyushiG67253344 @KanganaTeam she is very low-class and low. I do not even know how to reset my elders. Cheater. Only big things.,offensive
1466,"Rail, oil, cell, BHEL, the
power of everybody and the cell of the rich,
who are opposing,
look at them in jail, these dishonest games",hate
1467,"How will your day be and how much will your fate be today ...
know
for other news related to religion in #ATZodiac : https://t.co/VPCXjjkw4L https://t.co/41jpY4mhzb",non-hostile
1468,"#Bhaiyaji_Kahin Poke of Hindustan, the conspiracy of China. @Prateektv https://t.co/2ABKMFy6Lq from Ladakh",non-hostile
1469,"I sought all the help to save Delhi from taxing in this hour of trouble. And everyone cooperated with the rise. With the support of the Central Government and Radha Swami Beas, it has become such a big karona center for its Delhiites. https://t.co/OqRYdL2Z03",non-hostile
1470,Sad news of former President Shri Pranab Mukherjee passed away. God place the departed soul at your feet and give courage to his family and loved ones to bear this sorrow.,non-hostile
1471,Kurukshetra Deputy Commissioner Sharandeep Kaur Brar said that a ban has been imposed on entering the small secretariat without a face mask to prevent corona infection. https://t.co/xGmSLkydqG,non-hostile
1472,"Center and states debt may reach record level of 91% of GDP this time: report
https://t.co/zLUWcpn4PZ via @NavbharatTimes
#Loan #GDP",non-hostile
1473,"Shocking incident in Jodhpur: 3 daughters-in-law murdered mother-in-law and hanged again, two brothers and third cousin arrested
https://t.co/YDRRNBAIFk

@PoliceRajasthan #RajasthanNews",non-hostile
1474,"One app is #AskSarkar. In this, a person can interact through chat bots and get accurate information about any government scheme - that too through all 3 formats - text, audio, video: PM

@narendramodi #MannKiBaat https: / /t.co/wfQj0Okn40",non-hostile
1475,"#IndiaChinaBorderNews: China will pay big price if war happens, big countries will be with India
#IndiaChinaBorderTension
https://t.co/dcbLDD6nW2",non-hostile
1476,"In Mumbai, a 4-story building collapsed at Nala Sopara at 1:30 pm

#Mumbai #BuildingCollapse

https://t.co/m23gfuDjIo",non-hostile
1477,"In contempt case, Prashant Bhushan imposed financial penalty of 1 rupees, 3 months in jail for not depositing
#PrashantBhushan

https://t.co/i5zH6Bg6in",non-hostile
1478,"Karni Sena in support of Kangana; Sanjay Raut's effigy burnt in protest against Shiv Sena
https://t.co/Yye7xt1Bae",non-hostile
1479,"Soon after Balasaheb, the Shiv Sena has now avoided as much as Hinduism,
🤙
as Janeu stripe Pappu Menkk😆😂😂",defamation
1480,"Cleanliness, hygiene, sanitization and use of masks control Kovid-19 disease as well as other diseases. There has been a lot of decline this year in the areas of Diary and Dissentary: ACS, Medicine and Health, Shri Amit Mohan Prasad Yes",non-hostile
1481,"Heard that Amit Shah, the home minister of the world's largest Kovid hospital built by the Delhi government, is coming to inaugurate ""stealthily, secretly,"" is BJP fighting Corona or @ArvindKejriwal?",non-hostile
1482,"Why do you rot now, why do you rot or dance? There
was a lot to
see as a dalle, fuckin '

raja kare # Sanjay_Singh_Gunda_ is https://t.co/dvVQzR8x5W",offensive
1483,"Avoid withdrawing money from provident fund, loss of Rs 1 lakh on withdrawal of 1 lakh
https://t.co/2FSX1VuW84 via @NavbharatTimes
#EPFO #ProvidentFund https://t.co/O040xUp3We",non-hostile
1484,"#ENGvPAK: Thrill of last 12 balls, decision on last ball, Pak draws series

https://t.co/bR7RD2gtyO",non-hostile
1485,"First get the plaster of the house,
in such a photo, even in such a photo the bitch will kill on the fuck off mouth and you will be rejected https://t.co/LxWcUufpLw","hate, offensive"
1486,"Arvind Kejriwal has a police station.
Have to deliver ""Oxymitra"" from door to door ||
#AAPKeOxiMitra https://t.co/talbTNwoMn",non-hostile
1487,@ KingAbhi144: My father is proud of me that I am a million times better than Rahul Gandhi!,defamation
1488,"Educational policy to meet the country's aspirations crucial ': PM
@narendramodi

Https://tkco/6l389vtTWt",non-hostile
1489,"The person seen in the picture is Bharat Sharma, a law student at Delhi University and a member of ABVP, a student organization of the Bharatiya Janata Party (BJP).",fake
1490,"Give 5,000 retweets and we'll delete # rasabhari from Amazon Prime (due to very low ratings on IMDb)",fake
1491,Pray to God that you be well soon. https://t.co/TDjXf9rHdP,non-hostile
1492,"Vodafone-Idea has now changed its name to VI. What will the common man benefit from this? Will the rate of recharge be low or will the network be better in mobile or not? Will the video banger play? Find out the answers to these questions in this issue of 'Pod Khas' | @therituraj | @manukaushik |

➡️https: //t.co/QsjGaQFQKK https://t.co/GZqU8AVpxb",non-hostile
1493,"Now the UP board will also do career counseling of students from class 9 to 12.
#UttarPradesh

https://t.co/RSwUp8OnI4",non-hostile
1494,"Lklskre Taiba-Fristo army
2kal Qaeda-Allah Qaeda
3kjesh A Mohamed-Mohammed Saheb team 4kthrik A Taliban Holy Yoddhao team group 5khijbul Mujadin-Islamic Blidanio,

notes - the terrorists There is no religion, peace loving community.",hate
1495,"RT @DrSunilKumar_: ""Uddhav Thackeray destroyed fake bunker in Pakistan Occupied Kashmir (POK)""

India is our POK from Kashmir to Kanyakumari…",offensive
1496,Free laptops under the Prime Minister Free Laptop Distribution Scheme 2019 Narendra Modi Free Laptop Distribution Scheme,fake
1497,"Our jihadi brothers from Kerala, Assam, Bengal, Uttar Pradesh, Kashmir everywhere are finding the Sanghi police and killing the dog.
Keeping this in view, a decree is issued on behalf of the All India Katwa Low Board that all the Momin brothers join the ISIS by giving a stipulation from the government post.","fake, hate"
1498,A Muslim mother and child were buried alive by Hindus.,"defamation, fake, hate, offensive"
1499,"@Dr_Uditraj @INCIndia You also know how fragile the environment of the country has become
.
You are besieging the government from all sides. You took money by selling the land of the
country for yourself. Because of this, the PM is working hard day and night, and like you, the riots are going on rioting.",offensive
1500,@DeepikaSRajawat is a bastard dancing along with a bastard who leaves his slave scapegoat and flees abroad.,offensive
1501,"Construction of Ram temple in Ayodhya is a sign of Ramrajya coming to India Ram Rajya means to establish a Brahmin kingdom
#RamMandir_ka_Postmartam
#RamMandir_ka_Postmartam
#Ramandir_ka_Postmartm",offensive
1502,"# Kochi Metro service, which was closed for 168 days in view of Kovid 19, started today. This metro rail service is being run as per Kovid guidelines. Thermal screening of passengers is being done at the stations and foot-operated sanitizers are kept at all stations for their convenience.",non-hostile
1503,"If they get angry, they commit murder,
and if we get angry, then we abuse Modi and Yogi and make them go away.
Bitter but true .....

#CBIForPalghar https://t.co/JH858jJbaw",offensive
1504,"Indira Gandhi ji with soldiers in Galvan Valley.
#IndiraGandhi",fake
1505,"Malala, who shouted at the #Kashmir issue, has maintained silence on #Bangalore_Dange, Sweden_Dange. Malala remained silent even in the case of #Dharma_Change of Hindu girls in Pakistan.

And # full_chapter has been placed on the CBSE board.

Malala is also running an agenda in support of the #Special_Community.",hate
1506,"Hindustan Daily News Wrap

Listen in this episode, how the #Indian #Sena responded to the #Introduction attempt, what will Ramadas Athawale and #Delhi_Metro release for

#Gulam_Nabi_Azad and #Kapil_Sibbal.
https://t.co/nFcPpPTkiu",non-hostile
1507,"@sambitswaraj Congress is the mole who touches any political party, then it comes on the road

like SP, BSP, RJD, now it seems, Shiv Sena's turn.",hate
1508,BJP MP Udit Raj accused the women of sleeping with men for 2 or 4 lakh rupees and then defaming them.,fake
1509,"SC order on the petition of Karnataka MLAs resigning - MLAs meet the speaker at 6 pm today. Speakers decide by listening to them. Tomorrow SC will hear again. The SC also asked the DGP of Karnataka to protect the MLAs.

Legislators complain that the speaker is hanging the case",non-hostile
1510,"#BREAKING | Riya Chakraborty,

who leaves NCB office, is going home under the protection of Mumbai Police Watch Riya on Republic India #LIVE: https://t.co/G945HvzM0Z

YouTube live TV:
https://t.co/P8bk9R5TiX https: // t.co/oW9pifupIf",non-hostile
1511,@aajtak @RahulGandhi this man is a hypocrite,"hate, offensive"
1512,"Now it has been proved that the
spoon considers PoK not part of India but Pakistan.",hate
1513,"Did the posters by Indian Muslims show that ""Fucked Muslims, Jai Shri Ram, build Babri Masjid in Pakistan""",fake
1514,"(AIP = Air independent propulsion)

The image of Pakistan thinking of ruining India has become such that no one is ready to help them at the international level,

although they can also call it Modi's diplomatic victory

because everyone knows that Modi And how good is Merkel's relationship",offensive
1515,"England need 21 runs off 13 balls to win, 4 wickets in hand

#PAKvENG #ENGvPAK #Pakistan #England

https://t.co/abgtKtSZ0P https://t.co/L6OTwTgVfP",non-hostile
1516,"Our effort has been that there should be no death due to corona. Yesterday the death toll has come down to 13, which is 0.4 percent of the total cases. This is the lowest in the country. - Honorable Chief Minister Shri @ArvindKejriwal ji https://t.co/uhlCy66bKM",non-hostile
1517,The symbol of the Supreme Court has changed .... instead of 'Satyamev Jayate' ... Yato Dharmastato Jai:.,fake
1518,"Poverty will strike, this dream will come true.
In the Congress government, there will be strong poor families. When the 'sleight of hand' is seen in the advertisement itself, consider how deep the roots of the corrupt mentality of CONgress are. The photo shows that the Congress tweeted a photoshopped image of Rahul Gandhi.",fake
1519,This condition of the palm is due to overuse of the sanitizer.,fake
1520,Happy birthday to AAP Madhya Pradesh state social media co-secretary @ sharmapraveen35 ji https://t.co/IPlBT2evAY,non-hostile
1521,#Politicians_Ko_Also_Devote_ I support this trend and thank @cute_thakurain for starting it,non-hostile
1522,Shocking truth! # RSS and BJP goons in police uniform who mercilessly in Uttar Pradesh,fake
1523,"Until Modiji tells the truth,

lending should not be lent to those who voted for Rahul Gandhi, because this shop is open under the Mudra scheme. Thank you Modiji.",fake
1524,"When the roots are deeply entangled in religion, the tree will become strong ..!
@friendsofrss https://t.co/TNgZJTrAbc",hate
1525,"Are you better at guessing? So guess and win the prize money
===== & gt; CLICK HERE 👇
https://t.co/6CUk128krf https://t.co/XIapWAyLy8",non-hostile
1526,"This is a photo of Italy, where more than 200 doctor-nurses died due to coronavirus",fake
1527,Graves being dug in Pakistan for terrorists killed in Indian Air Force attack,fake
1528,"Will the Center knock the door of the Reserve Bank now to compensate GST compensation? https://t.co/BGbA7etWse via @NavbharatTimes
#GSTCouncilMeet #gstcouncilmeeting #GSTCouncil #NirmalaSitharaman https://t.co/t4mRgMl8ZE",non-hostile
1529,"@ anuragkashyap72 Anurag Kashyap Suvar's child, if anyone else does this with your sister Teri Ma or your wife, then what do you say,
if a dog like you should hang on the middle ground, then you are a man of the same Dawood and a traitor like JNU Helpfully, in our language, we call them Hallala Naki birth","hate, offensive"
1530,"New twist in Sushant case
#Video
https://t.co/w3b0DHKzRD",non-hostile
1531,"Kangana's allegation on BMC, said- 'My office raided, my dream seems to be falling'
https://t.co/w55MbJY6vd",non-hostile
1532,"Masood Azhar If you are so worried about your Muslim brothers, then you are being tortured a lot in China. Will you not answer this to China?","hate, offensive"
1533,"Controversy has erupted over the death of former MLA Nirvendra Mishra, there is still doubt
about the cause @ZEEUPUK #LakhimpurKhiri
https://t.co/k0ilcSFZsE",non-hostile
1534,"Sajjan Kumar was seeking bail on the basis of age and increasing illness, but the Supreme Court refused. Know why Sajjan Kumar is in jail?
@ swatimishra1717
https://t.co/dtBjW8Gxue",non-hostile
1535,"What is the need to evict people from the country who burn the national flag through NRC, take out a rally? The traitors should be expelled from the country.",fake
1536,Compulsory retirement is being sought by Indian Railways from its employees after completing the age of 55 years or after completing 30 years of service.,fake
1537,"Just like Abhimanyu's mother's womb ..?
6 Doors of Chakravyuh.
He had come to learn to break.
Like nowadays illegitimate children of the cave.?
From inside, you become a dog of honor.
Exiting.?
Abhimanyu became brave but only these dogs.
Will stay .... n @ nazreens786",offensive
1538,"In Maharashtra, slogans of Pakistan Zindabad are being raised in support of Samajwadi Party leader Abu Azmi .... !!

Wadala Station Mumbai",hate
1539,"Naseeruddin Shah's health deteriorated .. !!

Meanwhile Yamraaj -",fake
1540,"Isolated by expansionist habits and corona epidemic

#China is going to do what is going on now is a matter of concern for the world #AtomicBombs

https://t.co/WkftLDnQZN",non-hostile
1541,"Hollywood actor Chadwick Boseman died. He was 43 years old. Been fighting bowel cancer for some years. Bosman played the lead character in the Marvel series blockbuster film 'Black Panther'. The family tweeted and informed about his death.

https://t.co/X4gOPsOhcO",non-hostile
1542,"PM Modi said about national education policy The government, its interference, its influence in education policy, should be minimal. Click for updates ...
https://t.co/Zn4lWf5MEY

@narendramodi #NationalEducationPolicy https://t.co/WBwm5eISHh",non-hostile
1543,"@SureshChavhanke @MaheshNBhatt #arrestmaheshbhatt
Arrest the dog",offensive
1544,"Finally, Ramu, an Indian student at the University of Pondicherry, has discovered a home remedy for Kovid-19, first accepted by WHO. He proved that by mixing 2 tablespoons honey and 1 tablespoon pepper powder in ginger juice for 5 consecutive days, the effect of corona can be suppressed and eventually 100% removed - the whole world accepts this remedy is starting. Good news at the end of 2020!",fake
1545,"Allah’s given is everything.
There is also brick, stone, acid, knife, sword and bomb.

There is no identity card given by the Government of India.",defamation
1546,"#IndiaFightsCorona:

What should be given to eat 📍Corona infected?

#StaySafe #IndiaWillWin https://t.co/6YjAiP4wiG",non-hostile
1547,"Babur got two types of Hindus in India,

1) who protested like Kangana ..
2) who gave birth to Timur by kneeling like Kareena ..",defamation
1548,@ anuragkashyap72 dog bastard boar's child was not your mother sister daughter Bhadeve you should be punished a death dog country stands with malevolent traitor and crumbling gang dog Bhadeve stood with jihadists in Shaheen Bagh with boar with terrorists You should hang,hate
1549,"In Corona country: 17.77 lakh patients a week grew in the world, 29% of them from infected India; 37.66 lakh cases in the country so far
https://t.co/k5wvskV3Fb #CoronaUpdatesOnBhaskar # COVID19 @MoHFW_INDIA @drharshvardhan @HMOIndia @PMOIndia @RahulGandhi @WHO https://t.co/uZNkW3IVzp",non-hostile
1550,"Dalit women were brutally beaten up by the upper caste society for filling water from a well in Bijpur, Sonbhadra.
Is this democracy? Sonbhadra administration should get it done as soon as possible.
# SONEBHADRA
# Dalit # Jai Bheem
@BSonbhadra_

@DmSonbhadra

@alokvidyarthiSP

@myogiadityanath

@rajeev_mp

@ImAvdheshkumar",fake
1551,"Durgesh Yadav massacre: Accused Palak Thakur's power connection came to know, know who's mouth, brother

#DurgeshYadav #PalakThakur

https://t.co/LmtD4GWZpA",non-hostile
1552,"One thing was not understood when Tahir Hussain is the accused and a lot of objectionable things were found on the roof of his house, should the Delhi Police have sealed that house or left it to build an arena for the media. Can someone explain me?",non-hostile
1553,"In the Mann Ki Baat 'Prime Minister, @narendramodi said, Onam is fast becoming an international festival.

Details: https://t.co/LOJofiwLb2

#MannKiBaat https://t.co/7w8Zf7eti4",non-hostile
1554,"Uttar Pradesh's performance improvement in # SwachhSurvekshan2020 with the spirit of 'Cleanliness is Seva' is encouraging.

Lucknow ranked 12th in the top 20 clean cities with a population of over 10 lakh, Agra was 16th, Ghaziabad was 19th and Prayagraj was ranked 20th.
Congratulations!",non-hostile
1555,"Nepal's Prime Minister KP Oli claims on Taj Mahal
Where was Shah Jahan, Nepali his real name was Shahabji, but Indians made him Shah Jahan, Nepal will soon file a petition in the UN,
Joey Shabji",fake
1556,"Made gold out of potatoes, made a scooter out of water, made a scooter just .... Be
patient a little more, do not let the donkey get diesel by 2024.",defamation
1557,"America's Time magazine revealed the nexus of WhatsApp-BJP:

40 crore Indians use WhatsApp and now WhatsApp wants to pay money from it. For this Modi government needs approval.

Therefore, BJP has a hold on WhatsApp.

https://t.co/ahkBD2o1WI",non-hostile
1558,"#hindugods not insult the vile abuse amenities goth Jihadn Hirkhan the right is nothing Arrest pronounce, but her Strict action should deserves to Hindu Devidewatao abused these jihadi Community hundred times thinking we Snatndharm first in future tolerate this Goth has overstepped
# ArrestHeerkhan",hate
1559,". @ Congratulations to all newly appointed General Ministers of BJP4MP, Mr. Ranbir Singh Rawat, Mr. Harishankar Khatik, Mr. Sharadendu Tiwari, Mr. Bhagwan Das Sabnani, Ms. Kavita Patidar.
I am confident that with the support of all of you, we will strengthen the organization in Madhya Pradesh !! https://t.co/tT5scpVwvp",non-hostile
1560,"In higher education institutions, only researchers and technical and vocational programs, which require laboratory related work .....",non-hostile
1561,"Modi ji, you massage and brighten your face with sweat, but why are you sweating the blood of the country?",defamation
1562,"Pratap Singh Khachariwas gave information by
tweeting himself after the Corona report came positive #CoronavirusCrisis #Rajasthan
(@AnkurWadhawan)

https://t.co/EqfiMgPj8q",non-hostile
1563,"Today, senior Adv Prashant Bhushan met at his Jangpura office, congratulating him that he is fighting for the justice of the common man. The lockdown was a scam of the Supreme Court on the workers' problem & amp; Which has been corrected. The Nyay Palika is also anti-Dalit and backward. He said the truth that the judiciary is corrupt. https://t.co/LQUH4cgqpJ",non-hostile
1564,"This family is a ""mystery"" from Moti Nehru to Rahul Gandhi.
Pappu's real name is ""Rahul Gandhi"", ""Raul Vinci"" or ""Rahul Khan"".
It describes itself as Dattatreya gotra genevudhari Hindu whereas mother is Christian and father Feroz Khan is Muslim.
Is it a British citizen or an Indian.
Married or single.","defamation, offensive"
1565,"This Siv was not the murder of two innocent monks, but the murder of our Hindu culture, and if this is not stopped, such stories will continue to happen.",hate
